zone,CCGT,biomass,coal,nuclear,offwind-ac,offwind-dc,offwind-float,oil,onwind,other,ror,solar,solar-hsat
DK_2,1038.0,311.0,1266.0,0.0,1050.0,0.0,0.0,0.0,819.2,1.0,0.0,539.0,0.0
FI,2709.6,3226.9,1661.8,4362.0,73.0,0.0,0.0,697.0,9468.4,9.0,1470.6,318.0,0.0
NO_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,376.0,5.0,632.5,49.5,0.0
NO_2,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,1635.8,8.0,185.0,34.1,0.0
NO_3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1741.0,6.0,300.0,35.4,0.0
NO_4,459.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1043.0,6.0,300.0,11.0,0.0
NO_5,294.0,0.0,0.0,0.0,88.0,0.0,0.0,0.0,733.0,3.0,75.0,29.8,0.0
SE_1,0.0,35.0,0.0,0.0,10.3,0.0,0.0,0.0,3547.3,4.0,212.0,8.2,0.0
SE_2,0.0,245.0,0.0,0.0,2.3,0.0,0.0,0.0,7284.7,5.0,846.0,69.0,0.0
SE_3,50.0,664.0,0.0,8617.0,53.1,0.0,0.0,0.0,4304.4,13.0,221.0,706.9,0.0
SE_4,0.0,167.0,0.0,0.0,137.2,0.0,0.0,0.0,1451.4,4.0,0.0,322.8,0.0
