Link,bus0,zone_bus0,bus1,zone_bus1,loading_percent,loading_MW,rated_capacity_MW,type
Konti-Skan,DK0 0,DK_1,SE1 10,SE_3,101.83823529411764,692.5,680.0,HVDC Link
North Sea Link,GB,,NO1 22,NO_2,100.0,1400.0,1400.0,HVDC Link
Skagerak,DK0 0,DK_1,NO1 20,NO_2,98.44675642594859,1608.62,1634.0,HVDC Link
SwePol Link,PL,,SE1 5,SE_4,97.01666666666668,582.1,600.0,HVDC Link
NordBalt,LT,,SE1 17,SE_3,93.90285714285716,657.32,700.0,HVDC Link
Kontek,DE,,DK1 0,DK_2,67.85624999999999,407.1375,600.0,HVDC Link
Storebaelt,DK0 0,DK_1,DK1 0,DK_2,67.74,406.44,600.0,HVDC Link
Estlink,EE,,FI1 5,FI,65.885875,658.85875,1000.0,HVDC Link
Fenno-Skan 2,FI1 0,FI,SE1 16,SE_3,58.9734,471.7872,800.0,HVDC Link
Fenno-Skan 1,FI1 0,FI,SE1 7,SE_3,46.47455999999999,232.37279999999996,500.0,HVDC Link
NordLink,DE,,NO1 25,NO_2,20.861607142857146,292.0625,1400.0,HVDC Link
Baltic Cable,DE,,SE1 0,SE_4,6.718333333333333,40.31,600.0,HVDC Link
NorNed,NL,,NO1 25,NO_2,1.5292857142857144,10.705,700.0,HVDC Link
relation/8184633-300-DC,SE1 0,SE_4,SE1 21,SE_3,0.0,0.0,1200.0,HVDC Link
