Snapshot,NO_1,NO_2,NO_3,NO_4,NO_5,FI,SE_1,SE_2,SE_3,SE_4,DK_2
2023-07-03 00:00:00,2321.0,3078.0,2317.0,1849.0,1322.0,6474.25,932.0,1129.0,6835.0,1851.0,1100.0
2023-07-03 01:00:00,2216.0,3047.0,2350.0,1823.0,1291.0,6389.0,981.0,1050.0,6599.0,1821.0,1065.0
2023-07-03 02:00:00,2118.0,2904.0,2360.0,1826.0,1274.0,6328.0,912.0,1027.0,6563.0,1715.0,1041.0
2023-07-03 03:00:00,2057.0,2855.0,2262.0,1773.0,1242.0,6309.5,796.0,1071.0,6462.0,1723.0,1046.0
2023-07-03 04:00:00,1994.0,2856.0,2219.0,1708.0,1231.0,6438.25,904.0,1083.0,6394.0,1707.0,1026.0
2023-07-03 05:00:00,2075.0,2866.0,2339.0,1792.0,1238.0,6951.75,991.0,1110.0,6639.0,1795.0,1059.0
2023-07-03 06:00:00,2311.0,3065.0,2442.0,1872.0,1391.0,7384.25,1005.0,1302.0,7292.0,1996.0,1216.0
2023-07-03 07:00:00,2598.0,3196.0,2560.0,2010.0,1446.0,7717.5,977.0,1504.0,8102.0,2187.0,1386.0
2023-07-03 08:00:00,2743.0,3224.0,2571.0,2052.0,1437.0,7986.25,1047.0,1528.0,8407.0,2290.0,1466.0
2023-07-03 09:00:00,2795.0,3147.0,2656.0,2008.0,1499.0,8132.25,1055.0,1503.0,8564.0,2228.0,1520.0
2023-07-03 10:00:00,2824.0,3463.0,2729.0,2033.0,1540.0,8306.0,1081.0,1394.0,8792.0,2281.0,1604.0
2023-07-03 11:00:00,2796.0,3429.0,2734.0,2055.0,1445.0,8322.5,1142.0,1380.0,8967.0,2337.0,1615.0
2023-07-03 12:00:00,2807.0,3540.0,2706.0,2072.0,1457.0,8317.75,1168.0,1475.0,8859.0,2303.0,1628.0
2023-07-03 13:00:00,2791.0,3554.0,2564.0,2100.0,1527.0,8248.0,1128.0,1438.0,8721.0,2355.0,1579.0
2023-07-03 14:00:00,2751.0,3557.0,2635.0,2018.0,1485.0,8146.5,1055.0,1476.0,8703.0,2354.0,1588.0
2023-07-03 15:00:00,2768.0,3663.0,2649.0,2027.0,1482.0,8057.25,1016.0,1501.0,8608.0,2344.0,1567.0
2023-07-03 16:00:00,2793.0,3585.0,2631.0,2044.0,1517.0,7987.0,986.0,1491.0,8523.0,2305.0,1534.0
2023-07-03 17:00:00,2782.0,3458.0,2637.0,2059.0,1493.0,7894.75,1028.0,1495.0,8565.0,2439.0,1585.0
2023-07-03 18:00:00,2743.0,3425.0,2589.0,2090.0,1543.0,7854.5,1108.0,1540.0,8552.0,2405.0,1539.0
2023-07-03 19:00:00,2663.0,3464.0,2575.0,2066.0,1495.0,7808.0,1156.0,1548.0,8351.0,2279.0,1465.0
2023-07-03 20:00:00,2618.0,3337.0,2546.0,1959.0,1459.0,7376.5,1149.0,1420.0,8148.0,2315.0,1387.0
2023-07-03 21:00:00,2556.0,3316.0,2548.0,1963.0,1452.0,7396.5,1184.0,1235.0,7871.0,2265.0,1306.0
2023-07-03 22:00:00,2523.0,3265.0,2502.0,1947.0,1470.0,7257.75,1036.0,1303.0,7612.0,2141.0,1241.0
2023-07-03 23:00:00,2429.0,3144.0,2459.0,1804.0,1445.0,6871.25,851.0,1218.0,7246.0,1925.0,1168.0
