snapshot,SE_3,FI,NO_1,NO_2,NO_3,NO_4,NO_5,SE_4,SE_2,DK_2,SE_1
2023-01-01 00:00:00,9145.546371459961,9326.625587463379,4742.295425415039,4541.25749206543,2686.446990966797,2715.653480529785,2257.999038696289,3519.467948913574,1996.6882858276367,1435.7979278564453,811.7822113037109
2023-01-01 01:00:00,9008.497077941895,9265.139114379883,4694.920135498047,4495.890571594238,2659.6094970703125,2688.5242462158203,2235.4417724609375,3466.7274856567383,1966.767189025879,1403.5379104614258,799.6173629760742
2023-01-01 02:00:00,8927.107627868652,9237.909355163574,4630.2633056640625,4433.974700927734,2622.982276916504,2651.498825073242,2204.6560134887695,3435.406494140625,1948.9979629516602,1392.6331024169922,792.3930206298828
2023-01-01 03:00:00,8922.906929016113,9327.503982543945,4634.136779785156,4437.683921813965,2625.176528930664,2653.7169189453125,2206.5003051757812,3433.789924621582,1948.0808181762695,1411.7164993286133,792.0201644897461
2023-01-01 04:00:00,8996.41999053955,9432.90943145752,4691.344635009766,4492.466644287109,2657.5840377807617,2686.476776123047,2233.7393112182617,3462.079833984375,1964.1304779052734,1445.3396072387695,798.5453567504883
2023-01-01 05:00:00,9090.936714172363,9372.301292419434,4789.968658447266,4586.909759521484,2713.4532165527344,2742.9533462524414,2280.6982040405273,3498.4525985717773,1984.7657089233398,1527.579933166504,806.9349136352539
2023-01-01 06:00:00,9292.04736328125,9655.139221191406,4838.535758972168,4633.4179611206055,2740.9658432006836,2770.7650451660156,2303.822998046875,3575.845733642578,2028.6728820800781,1640.262809753418,824.786018371582
2023-01-01 07:00:00,9520.462829589844,9699.05818939209,4993.473785400391,4781.787811279297,2828.736167907715,2859.489601135254,2377.5952758789062,3663.7465438842773,2078.541358947754,1762.0330200195312,845.0607681274414
2023-01-01 08:00:00,9752.553993225098,9875.612297058105,5090.3100509643555,4874.518898010254,2883.592597961426,2914.9424591064453,2423.702949523926,3753.061851501465,2129.2123413085938,1876.5333709716797,865.6617660522461
2023-01-01 09:00:00,9998.822662353516,10037.233993530273,5224.09309387207,5002.630546569824,2959.3788986206055,2991.552719116211,2487.402458190918,3847.833076477051,2182.9786071777344,1938.3271942138672,887.5212020874023
2023-01-01 10:00:00,10222.512298583984,10151.423248291016,5312.2885818481445,5087.087211608887,3009.3404693603516,3042.0574264526367,2529.3958892822266,3933.9152603149414,2231.8153076171875,1945.597053527832,907.3764724731445
2023-01-01 11:00:00,10337.507713317871,10161.085418701172,5323.313003540039,5097.6442947387695,3015.585662841797,3048.370506286621,2534.645065307617,3978.1687927246094,2256.921546936035,1920.1525421142578,917.5837631225586
2023-01-01 12:00:00,10288.67407989502,10154.936752319336,5339.402732849121,5113.051918029785,3024.70027923584,3057.5842208862305,2542.3060455322266,3959.3761825561523,2246.2599716186523,1890.6187133789062,913.2491607666016
2023-01-01 13:00:00,10249.292053222656,10429.869262695312,5358.770004272461,5131.598121643066,3035.671600341797,3068.674789428711,2551.5275802612305,3944.2208862304688,2237.661949157715,1892.8905487060547,909.7535247802734
2023-01-01 14:00:00,10312.30322265625,10760.13973236084,5421.043159484863,5191.231384277344,3070.9485092163086,3104.335250854492,2581.1783599853516,3968.4693908691406,2251.418785095215,1936.5097198486328,915.3465423583984
2023-01-01 15:00:00,10681.443725585938,10857.639747619629,5612.332000732422,5374.411033630371,3179.3110733032227,3213.8759002685547,2672.258743286133,4110.525199890137,2332.010856628418,2165.9647827148438,948.1124114990234
2023-01-01 16:00:00,11170.83041381836,10835.680252075195,5647.49104309082,5408.0795974731445,3199.2282180786133,3234.0095596313477,2688.999351501465,4298.8552322387695,2438.8555221557617,2407.2333602905273,991.5516204833984
2023-01-01 17:00:00,11316.281227111816,10774.193786621094,5662.984832763672,5422.916557312012,3208.0052185058594,3242.8820266723633,2696.376609802246,4354.828834533691,2470.6108474731445,2365.886016845703,1004.4622192382812
2023-01-01 18:00:00,11248.544204711914,10609.936965942383,5633.784980773926,5394.954551696777,3191.4639053344727,3226.160842895508,2682.4733810424805,4328.761703491211,2455.8222579956055,2232.7566528320312,998.4496994018555
2023-01-01 19:00:00,11133.023750305176,10370.139518737793,5606.074897766113,5368.419189453125,3175.766502380371,3210.292823791504,2669.279472351074,4284.306121826172,2430.6014251708984,2088.2681274414062,988.1958084106445
2023-01-01 20:00:00,10917.210464477539,10781.220817565918,5518.4753341674805,5284.5331954956055,3126.142509460449,3160.1293334960938,2627.5697479248047,4201.2550048828125,2383.484306335449,1972.8590545654297,969.0396575927734
2023-01-01 21:00:00,10569.598854064941,10525.612579345703,5438.324691772461,5207.78035736084,3080.738250732422,3114.2314453125,2589.406806945801,4067.4841079711914,2307.592483520508,1832.0054473876953,938.1847686767578
2023-01-01 22:00:00,10199.933326721191,10111.01782989502,5216.942100524902,4995.782699584961,2955.3279571533203,2987.4577407836914,2483.99755859375,3925.2262268066406,2226.8858032226562,1693.423683166504,905.3722991943359
2023-01-01 23:00:00,9785.109764099121,9839.598770141602,5078.391738891602,4863.105842590332,2876.8410568237305,2908.117462158203,2418.0281677246094,3765.5902709960938,2136.320053100586,1589.373779296875,868.5514907836914
