snapshot,DK_2,FI,NO_1,NO_2,NO_3,NO_4,NO_5,SE_1,SE_2,SE_3,SE_4
2023-01-01 00:00:00,1575.38,10139.730000000001,1670.46,2801.23,2609.6899999999996,2255.39,1599.1699999999998,2481.21,4455.59,7621.030000000001,707.1500000000001
2023-01-01 01:00:00,1651.32,10139.65,1556.8700000000001,2291.75,2463.38,2254.37,1746.31,2505.2999999999997,4232.49,7487.7,724.96
2023-01-01 02:00:00,1512.4299999999998,10253.78,1481.07,1953.51,2318.44,2096.44,1535.3,2541.46,4315.75,7386.089999999999,738.6600000000001
2023-01-01 03:00:00,1415.67,10231.369999999999,1460.72,1717.53,2230.89,2007.3200000000002,1519.84,2531.08,4380.469999999999,7312.41,775.99
2023-01-01 04:00:00,1326.55,10155.58,1447.01,1670.76,2079.24,1998.77,1634.17,2548.34,4339.889999999999,7243.14,819.79
2023-01-01 05:00:00,1510.19,9988.220000000001,1510.19,1629.67,1971.3,2100.84,1540.2000000000003,2536.06,4429.65,7197.4,865.21
2023-01-01 06:00:00,1523.74,10123.45,1541.44,1588.3400000000001,1934.11,2195.09,1619.69,2601.15,4365.25,7228.86,904.87
2023-01-01 07:00:00,1527.51,10026.119999999999,1519.24,1763.5700000000002,1897.31,2279.75,1685.02,2587.74,4487.24,7248.65,934.14
2023-01-01 08:00:00,1688.04,10021.795,1452.59,2065.45,1864.84,2210.77,1677.0,2650.98,4602.59,7309.16,905.45
2023-01-01 09:00:00,1705.0400000000002,10042.369999999999,1531.06,2474.46,2002.8,2268.9300000000003,1710.25,2613.45,4714.29,7374.429999999999,936.9300000000001
2023-01-01 10:00:00,1700.13,10111.7,1593.95,2794.4700000000003,1984.98,2224.66,1780.9,2667.59,4732.74,7414.26,1040.99
2023-01-01 11:00:00,1768.65,10363.025,1659.21,3188.57,1952.65,2296.3,2047.79,2651.07,4555.49,7411.93,1112.88
2023-01-01 12:00:00,1816.5900000000001,10339.265,1720.49,3370.6800000000003,2010.58,2257.9,2192.01,2682.7200000000003,4461.69,7423.95,1221.0
2023-01-01 13:00:00,1800.6999999999998,10178.78,1710.52,3694.35,2254.95,2269.1,2185.9300000000003,2717.86,4374.41,7407.17,1286.4099999999999
2023-01-01 14:00:00,1745.72,10423.240000000002,1650.1299999999999,3789.27,2394.53,2339.05,1760.21,3070.4,4636.719999999999,7493.849999999999,1369.89
2023-01-01 15:00:00,1733.1499999999999,10639.95,1643.21,4073.25,2739.04,2792.19,1948.5200000000002,3327.75,5008.28,7613.37,1445.1399999999999
2023-01-01 16:00:00,1789.1,10811.449999999999,1693.12,4332.35,2845.41,3887.2699999999995,2194.5299999999997,4167.09,5448.67,7643.72,1460.1
2023-01-01 17:00:00,1803.46,11022.869999999999,1719.83,4284.8099999999995,2671.84,3792.6500000000005,2545.4100000000003,4503.68,5773.360000000001,7651.16,1494.71
2023-01-01 18:00:00,1788.94,11091.58,1666.6,4095.18,2672.64,3585.37,2430.9900000000002,4677.26,6216.82,7616.360000000001,1462.56
2023-01-01 19:00:00,1788.72,11049.1,1765.34,4009.5699999999997,2782.33,3436.37,2451.99,4616.9,6154.21,7689.34,1363.6100000000001
2023-01-01 20:00:00,1747.2199999999998,10880.550000000001,1778.81,3993.3700000000003,2861.5,3399.91,2309.56,4475.91,5953.950000000001,7686.67,1286.06
2023-01-01 21:00:00,1763.49,10568.99,1687.77,3918.76,2896.34,3556.99,2206.3199999999997,4362.57,5698.799999999999,7762.5,1208.27
2023-01-01 22:00:00,1667.98,10411.6,1633.63,3663.1099999999997,2799.5,3965.67,1825.69,4295.78,5447.030000000001,7790.91,1144.88
2023-01-01 23:00:00,1503.98,10319.37,1640.04,3446.6900000000005,2576.39,3954.41,1873.94,4019.62,4892.75,7856.55,1136.76
